id,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
2478,no,2144,yes,no,unknown,13,may,188,2,-1,0,unknown,no
2479,no,225,yes,yes,unknown,13,may,139,1,-1,0,unknown,no
2480,no,13308,yes,no,unknown,13,may,131,1,-1,0,unknown,no
2481,no,95,yes,no,unknown,13,may,266,2,-1,0,unknown,no
2482,no,1199,yes,no,unknown,13,may,76,1,-1,0,unknown,no
2483,no,400,yes,no,unknown,13,may,122,1,-1,0,unknown,no
2484,no,1262,yes,yes,unknown,13,may,1015,1,-1,0,unknown,yes
2485,no,849,no,no,unknown,13,may,60,1,-1,0,unknown,no
2486,no,1949,yes,no,unknown,13,may,683,2,-1,0,unknown,yes
2487,no,-395,yes,no,unknown,13,may,470,1,-1,0,unknown,yes
2488,no,618,no,no,unknown,13,may,149,1,-1,0,unknown,no
2489,no,0,yes,no,unknown,13,may,106,1,-1,0,unknown,no
2490,no,0,yes,yes,unknown,13,may,127,2,-1,0,unknown,no
2491,no,355,yes,no,unknown,13,may,320,1,-1,0,unknown,no
2492,no,131,yes,yes,unknown,13,may,145,1,-1,0,unknown,no
2493,no,6203,yes,yes,unknown,13,may,129,1,-1,0,unknown,no
2494,no,1635,yes,no,unknown,13,may,730,1,-1,0,unknown,no
2495,no,580,yes,no,unknown,13,may,36,1,-1,0,unknown,no
2496,no,1814,no,no,unknown,13,may,521,1,-1,0,unknown,no
2497,no,159,yes,no,unknown,13,may,95,3,-1,0,unknown,no
2498,no,48,no,no,unknown,13,may,120,1,-1,0,unknown,no
2499,no,189,yes,no,unknown,13,may,768,1,-1,0,unknown,no
2500,no,-633,yes,yes,unknown,13,may,277,1,-1,0,unknown,no
2501,no,5356,no,no,unknown,13,may,289,1,-1,0,unknown,no
2502,no,476,yes,no,unknown,13,may,473,1,-1,0,unknown,no
2503,no,4478,yes,no,unknown,13,may,133,1,-1,0,unknown,no
2504,no,3132,no,no,unknown,13,may,459,1,-1,0,unknown,no
2505,no,-892,yes,no,unknown,13,may,129,1,-1,0,unknown,no
2506,no,11,yes,no,unknown,13,may,420,1,-1,0,unknown,no
2507,no,414,yes,no,unknown,13,may,386,2,-1,0,unknown,no
2508,no,1165,yes,no,unknown,13,may,1001,4,-1,0,unknown,yes
2509,no,3839,yes,no,unknown,13,may,76,1,-1,0,unknown,no
2510,no,196,yes,no,unknown,13,may,488,1,-1,0,unknown,no
2511,no,521,yes,no,unknown,13,may,262,1,-1,0,unknown,no
2512,no,350,yes,yes,unknown,13,may,146,1,-1,0,unknown,no
2513,no,8680,yes,no,unknown,13,may,503,1,-1,0,unknown,no
2514,no,0,yes,no,unknown,13,may,170,1,-1,0,unknown,no
2515,no,309,yes,no,unknown,13,may,214,1,-1,0,unknown,no
2516,no,125,yes,no,unknown,13,may,355,1,-1,0,unknown,no
2517,no,368,yes,no,unknown,13,may,194,2,-1,0,unknown,no
2518,no,1362,yes,no,unknown,13,may,46,1,-1,0,unknown,no
2519,no,296,yes,no,unknown,13,may,128,1,-1,0,unknown,no
2520,no,2240,yes,no,unknown,13,may,845,1,-1,0,unknown,yes
2521,no,1026,yes,no,unknown,13,may,52,2,-1,0,unknown,no
2522,no,1301,yes,no,unknown,13,may,173,1,-1,0,unknown,no
2523,no,199,no,no,unknown,13,may,113,2,-1,0,unknown,no
2524,no,11,yes,no,unknown,13,may,109,2,-1,0,unknown,no
2525,no,5,yes,no,unknown,13,may,853,1,-1,0,unknown,no
2526,no,373,yes,yes,unknown,13,may,518,1,-1,0,unknown,no
2527,no,1270,yes,no,unknown,13,may,124,2,-1,0,unknown,no
2528,no,416,yes,no,unknown,13,may,452,2,-1,0,unknown,no
2529,no,-27,no,no,unknown,13,may,209,9,-1,0,unknown,no
2530,no,221,yes,no,unknown,13,may,154,2,-1,0,unknown,no
2531,no,331,yes,no,unknown,13,may,203,2,-1,0,unknown,no
2532,no,402,yes,no,unknown,13,may,813,2,-1,0,unknown,no
2533,no,123,no,no,unknown,13,may,81,1,-1,0,unknown,no
2534,no,105,yes,yes,unknown,13,may,119,1,-1,0,unknown,no
2535,no,0,yes,no,unknown,13,may,296,1,-1,0,unknown,no
2536,no,1691,no,no,unknown,13,may,916,2,-1,0,unknown,no
2537,no,2,yes,no,unknown,13,may,60,2,-1,0,unknown,no
2538,no,3,yes,no,unknown,13,may,443,1,-1,0,unknown,no
2539,no,399,yes,no,unknown,13,may,353,1,-1,0,unknown,no
2540,no,1421,yes,no,unknown,13,may,225,2,-1,0,unknown,no
2541,no,8,yes,yes,unknown,13,may,262,2,-1,0,unknown,no
2542,no,150,yes,yes,unknown,13,may,431,2,-1,0,unknown,no
2543,no,-371,yes,no,unknown,13,may,358,2,-1,0,unknown,no
2544,no,1916,yes,no,unknown,13,may,565,2,-1,0,unknown,no
2545,no,300,yes,no,unknown,13,may,103,3,-1,0,unknown,no
2546,no,175,yes,yes,unknown,13,may,753,6,-1,0,unknown,yes
2547,no,3571,no,no,unknown,13,may,708,2,-1,0,unknown,no
2548,no,1135,yes,no,unknown,13,may,265,1,-1,0,unknown,no
2549,no,789,yes,no,unknown,13,may,434,2,-1,0,unknown,no
2550,no,2195,yes,no,unknown,13,may,59,1,-1,0,unknown,no
2551,no,1311,yes,no,unknown,13,may,805,2,-1,0,unknown,no
2552,yes,-689,yes,no,unknown,13,may,242,1,-1,0,unknown,no
2553,no,14,yes,yes,unknown,13,may,19,9,-1,0,unknown,no
2554,no,56,yes,no,unknown,13,may,93,6,-1,0,unknown,no
2555,no,26765,no,no,unknown,13,may,210,8,-1,0,unknown,no
2556,no,17,yes,no,unknown,13,may,31,2,-1,0,unknown,no
2557,no,463,yes,no,unknown,13,may,213,5,-1,0,unknown,no
2558,no,751,yes,no,unknown,13,may,104,2,-1,0,unknown,no
2559,no,3478,yes,no,unknown,13,may,342,3,-1,0,unknown,no
2560,no,88,yes,no,unknown,13,may,172,2,-1,0,unknown,no
2561,no,64,yes,no,unknown,13,may,160,3,-1,0,unknown,no
2562,no,36,yes,no,unknown,13,may,535,2,-1,0,unknown,no
2563,no,42,yes,no,unknown,13,may,514,5,-1,0,unknown,no
2564,no,113,yes,no,unknown,13,may,276,1,-1,0,unknown,no
2565,no,358,yes,yes,unknown,13,may,176,3,-1,0,unknown,no
2566,no,274,yes,no,unknown,13,may,20,1,-1,0,unknown,no
2567,no,0,yes,no,unknown,13,may,161,1,-1,0,unknown,no
2568,no,985,yes,no,unknown,13,may,390,1,-1,0,unknown,no
2569,no,81,yes,no,unknown,13,may,245,4,-1,0,unknown,no
2570,no,592,yes,no,unknown,13,may,151,1,-1,0,unknown,no
2571,no,791,yes,no,unknown,13,may,144,1,-1,0,unknown,no
2572,no,708,yes,no,unknown,13,may,901,2,-1,0,unknown,no
2573,no,51,yes,no,unknown,13,may,123,1,-1,0,unknown,no
2574,no,0,yes,no,unknown,13,may,204,3,-1,0,unknown,no
2575,no,356,yes,no,unknown,13,may,93,2,-1,0,unknown,no
2576,no,34,yes,no,unknown,13,may,188,3,-1,0,unknown,no
2577,no,12061,yes,no,unknown,13,may,332,1,-1,0,unknown,no
2578,no,513,yes,no,unknown,13,may,180,1,-1,0,unknown,no
2579,no,6958,yes,yes,unknown,13,may,178,2,-1,0,unknown,no
2580,no,126,yes,no,unknown,13,may,92,1,-1,0,unknown,no
2581,no,54,yes,no,unknown,13,may,318,2,-1,0,unknown,no
2582,no,373,yes,no,unknown,13,may,94,1,-1,0,unknown,no
2583,no,304,yes,no,unknown,13,may,139,2,-1,0,unknown,no
2584,no,781,no,no,unknown,13,may,152,1,-1,0,unknown,no
2585,no,42,no,no,unknown,13,may,188,1,-1,0,unknown,no
2586,no,618,yes,no,unknown,13,may,54,3,-1,0,unknown,no
2587,no,1570,yes,no,unknown,13,may,29,1,-1,0,unknown,no
2588,no,1161,yes,no,unknown,13,may,271,1,-1,0,unknown,no
2589,no,0,no,no,unknown,13,may,95,1,-1,0,unknown,no
2590,no,-745,yes,no,unknown,13,may,227,1,-1,0,unknown,no
2591,no,88,yes,no,unknown,13,may,190,1,-1,0,unknown,no
2592,no,1330,yes,no,unknown,13,may,60,1,-1,0,unknown,no
2593,no,641,yes,no,unknown,13,may,161,1,-1,0,unknown,no
2594,no,1423,yes,no,unknown,13,may,162,4,-1,0,unknown,no
2595,no,8206,yes,no,unknown,13,may,213,2,-1,0,unknown,no
2596,no,4436,yes,no,unknown,13,may,67,2,-1,0,unknown,no
2597,no,1611,yes,yes,unknown,13,may,93,1,-1,0,unknown,no
2598,no,607,yes,no,unknown,13,may,119,2,-1,0,unknown,no
2599,no,300,yes,no,unknown,13,may,297,3,-1,0,unknown,no
2600,no,304,yes,no,unknown,13,may,3,1,-1,0,unknown,no
2601,no,254,yes,no,unknown,13,may,179,1,-1,0,unknown,no
2602,no,3790,yes,no,unknown,13,may,342,2,-1,0,unknown,no
2603,no,59,yes,no,unknown,13,may,420,1,-1,0,unknown,no
2604,no,1554,yes,no,unknown,13,may,378,1,-1,0,unknown,no
2605,no,257,yes,no,unknown,13,may,190,1,-1,0,unknown,no
2606,no,643,yes,no,unknown,13,may,354,2,-1,0,unknown,no
2607,no,128,yes,no,unknown,13,may,190,1,-1,0,unknown,no
2608,no,743,yes,yes,unknown,13,may,367,1,-1,0,unknown,no
2609,no,1460,no,no,unknown,13,may,91,2,-1,0,unknown,no
2610,no,-32,yes,no,unknown,13,may,77,1,-1,0,unknown,no
2611,no,1117,yes,no,unknown,13,may,280,1,-1,0,unknown,no
2612,no,2887,yes,no,unknown,13,may,182,1,-1,0,unknown,no
2613,no,446,yes,no,unknown,13,may,386,1,-1,0,unknown,no
2614,no,1212,yes,no,unknown,13,may,184,1,-1,0,unknown,no
2615,no,2218,yes,no,unknown,13,may,43,2,-1,0,unknown,no
2616,no,705,no,no,unknown,13,may,108,2,-1,0,unknown,no
2617,no,299,yes,no,unknown,13,may,253,2,-1,0,unknown,no
2618,no,313,yes,no,unknown,13,may,195,2,-1,0,unknown,no
2619,no,12482,yes,yes,unknown,13,may,46,3,-1,0,unknown,no
2620,no,29312,no,no,unknown,13,may,226,1,-1,0,unknown,no
2621,no,2226,yes,yes,unknown,13,may,55,1,-1,0,unknown,no
2622,no,1940,yes,yes,unknown,13,may,299,3,-1,0,unknown,no
2623,no,576,yes,yes,unknown,13,may,148,1,-1,0,unknown,no
2624,no,0,yes,yes,unknown,13,may,97,1,-1,0,unknown,no
2625,no,887,yes,no,unknown,13,may,169,2,-1,0,unknown,no
2626,no,17,yes,no,unknown,13,may,119,10,-1,0,unknown,no
2627,no,106,yes,no,unknown,13,may,101,13,-1,0,unknown,no
2628,no,489,yes,no,unknown,13,may,60,1,-1,0,unknown,no
2629,no,148,yes,no,unknown,13,may,210,1,-1,0,unknown,no
2630,no,14,yes,yes,unknown,13,may,65,6,-1,0,unknown,no
2631,no,1531,yes,no,unknown,13,may,129,4,-1,0,unknown,no
2632,no,3108,yes,no,unknown,13,may,481,3,-1,0,unknown,no
2633,no,26,yes,no,unknown,13,may,215,1,-1,0,unknown,no
2634,no,2466,yes,no,unknown,13,may,142,2,-1,0,unknown,no
2635,no,1045,yes,no,unknown,13,may,411,2,-1,0,unknown,no
2636,yes,-588,no,no,unknown,13,may,531,2,-1,0,unknown,no
2637,no,413,yes,no,unknown,13,may,65,1,-1,0,unknown,no
2638,no,0,yes,no,unknown,13,may,34,4,-1,0,unknown,no
2639,no,193,yes,yes,unknown,13,may,788,3,-1,0,unknown,no
2640,no,1340,yes,no,unknown,13,may,244,1,-1,0,unknown,no
2641,no,363,yes,no,unknown,13,may,431,1,-1,0,unknown,no
2642,no,-306,yes,yes,unknown,13,may,851,4,-1,0,unknown,no
2643,no,607,yes,no,unknown,13,may,315,3,-1,0,unknown,no
2644,no,556,yes,no,unknown,13,may,214,1,-1,0,unknown,no
2645,no,449,yes,yes,unknown,13,may,92,4,-1,0,unknown,no
2646,no,338,yes,no,unknown,13,may,73,3,-1,0,unknown,no
2647,no,-4,yes,yes,unknown,13,may,181,3,-1,0,unknown,no
2648,no,623,yes,no,unknown,13,may,159,2,-1,0,unknown,no
2649,no,1390,no,yes,unknown,13,may,58,2,-1,0,unknown,no
2650,no,719,yes,no,unknown,13,may,1052,1,-1,0,unknown,no
2651,no,369,yes,no,unknown,13,may,916,2,-1,0,unknown,yes
2652,no,1357,yes,no,unknown,13,may,150,2,-1,0,unknown,no
2653,no,0,yes,no,unknown,13,may,165,2,-1,0,unknown,no
2654,no,0,yes,no,unknown,13,may,309,2,-1,0,unknown,no
2655,no,2047,yes,no,unknown,13,may,163,2,-1,0,unknown,no
2656,no,507,yes,no,unknown,13,may,210,3,-1,0,unknown,no
2657,no,-427,yes,no,unknown,13,may,165,3,-1,0,unknown,no
2658,no,53,yes,no,unknown,13,may,331,2,-1,0,unknown,no
2659,no,93,yes,no,unknown,13,may,134,2,-1,0,unknown,no
2660,no,822,yes,no,unknown,13,may,185,6,-1,0,unknown,no
2661,no,849,yes,yes,unknown,13,may,295,2,-1,0,unknown,no
2662,no,-214,yes,no,unknown,13,may,86,4,-1,0,unknown,no
2663,no,161,yes,no,unknown,13,may,274,2,-1,0,unknown,no
2664,no,800,yes,no,unknown,13,may,151,4,-1,0,unknown,no
2665,no,598,yes,no,unknown,13,may,69,11,-1,0,unknown,no
2666,no,-135,yes,no,unknown,13,may,15,11,-1,0,unknown,no
2667,no,0,yes,yes,unknown,13,may,164,2,-1,0,unknown,no
2668,no,59,no,no,unknown,13,may,437,2,-1,0,unknown,no
2669,no,452,yes,no,unknown,13,may,139,4,-1,0,unknown,no
2670,no,49,yes,no,unknown,13,may,267,2,-1,0,unknown,no
2671,no,-213,no,no,unknown,13,may,165,2,-1,0,unknown,no
2672,no,2477,yes,no,unknown,13,may,175,2,-1,0,unknown,no
2673,no,264,yes,no,unknown,13,may,198,2,-1,0,unknown,no
2674,no,4265,yes,no,unknown,13,may,220,2,-1,0,unknown,no
2675,no,559,yes,no,unknown,13,may,168,2,-1,0,unknown,no
2676,no,-15,yes,no,unknown,13,may,247,3,-1,0,unknown,no
2677,no,926,yes,no,unknown,13,may,291,2,-1,0,unknown,no
2678,no,693,yes,no,unknown,13,may,187,2,-1,0,unknown,no
2679,no,9956,yes,no,unknown,13,may,194,2,-1,0,unknown,no
2680,no,1300,yes,no,unknown,13,may,379,2,-1,0,unknown,no
2681,no,2626,no,no,unknown,13,may,151,2,-1,0,unknown,no
2682,no,-44,yes,no,unknown,13,may,166,4,-1,0,unknown,no
2683,no,593,no,no,unknown,13,may,64,2,-1,0,unknown,no
2684,no,511,yes,no,unknown,13,may,232,4,-1,0,unknown,no
2685,no,493,yes,no,unknown,13,may,647,7,-1,0,unknown,no
2686,no,599,yes,no,unknown,13,may,322,3,-1,0,unknown,no
2687,no,272,yes,no,unknown,13,may,133,12,-1,0,unknown,no
2688,no,735,yes,no,unknown,13,may,50,3,-1,0,unknown,no
2689,no,15,yes,no,unknown,13,may,87,2,-1,0,unknown,no
2690,no,159,yes,no,unknown,13,may,771,2,-1,0,unknown,no
2691,no,651,yes,no,unknown,13,may,241,2,-1,0,unknown,no
2692,no,198,yes,no,unknown,13,may,205,3,-1,0,unknown,no
2693,no,-278,yes,no,unknown,13,may,318,2,-1,0,unknown,no
2694,no,-100,yes,no,unknown,13,may,109,9,-1,0,unknown,no
2695,no,15,yes,no,unknown,13,may,304,2,-1,0,unknown,no
2696,no,0,no,no,unknown,13,may,209,2,-1,0,unknown,no
2697,no,108,yes,yes,unknown,13,may,83,7,-1,0,unknown,no
2698,no,617,yes,no,unknown,13,may,227,2,-1,0,unknown,no
2699,no,516,yes,no,unknown,13,may,271,2,-1,0,unknown,no
2700,no,11,yes,no,unknown,13,may,326,4,-1,0,unknown,no
2701,no,1026,yes,no,unknown,13,may,389,2,-1,0,unknown,no
2702,no,3635,no,no,unknown,13,may,273,2,-1,0,unknown,no
2703,no,32,no,no,unknown,13,may,264,3,-1,0,unknown,no
2704,no,-123,yes,no,unknown,13,may,1106,4,-1,0,unknown,no
2705,no,-238,yes,no,unknown,13,may,73,2,-1,0,unknown,no
2706,no,1089,yes,yes,unknown,13,may,195,5,-1,0,unknown,no
2707,no,3749,yes,no,unknown,13,may,69,19,-1,0,unknown,no
2708,no,3140,yes,no,unknown,13,may,87,9,-1,0,unknown,no
2709,no,221,yes,no,unknown,13,may,122,7,-1,0,unknown,no
2710,no,300,yes,no,unknown,13,may,945,2,-1,0,unknown,yes
2711,no,515,yes,no,unknown,13,may,288,2,-1,0,unknown,no
2712,no,819,yes,no,unknown,13,may,50,3,-1,0,unknown,no
2713,no,722,yes,no,unknown,13,may,816,3,-1,0,unknown,no
2714,no,3346,yes,yes,unknown,13,may,284,2,-1,0,unknown,no
2715,no,419,yes,no,unknown,13,may,116,4,-1,0,unknown,no
2716,no,330,yes,no,unknown,13,may,72,4,-1,0,unknown,no
2717,no,1576,yes,no,unknown,13,may,232,2,-1,0,unknown,no
2718,no,258,yes,no,unknown,13,may,124,3,-1,0,unknown,no
2719,no,317,yes,no,unknown,13,may,326,3,-1,0,unknown,no
2720,yes,57,yes,yes,unknown,13,may,190,5,-1,0,unknown,no
2721,no,3285,yes,no,unknown,13,may,1721,2,-1,0,unknown,yes
2722,no,152,yes,no,unknown,13,may,351,2,-1,0,unknown,no
2723,no,2429,yes,no,unknown,13,may,171,2,-1,0,unknown,no
2724,no,3111,yes,no,unknown,13,may,166,2,-1,0,unknown,no
2725,no,1352,yes,no,unknown,13,may,104,2,-1,0,unknown,no
2726,no,37,yes,no,unknown,13,may,163,3,-1,0,unknown,no
2727,no,640,yes,no,unknown,13,may,492,2,-1,0,unknown,no
2728,no,113,no,no,unknown,13,may,25,10,-1,0,unknown,no
2729,no,468,yes,no,unknown,13,may,152,3,-1,0,unknown,no
2730,no,184,yes,no,unknown,13,may,109,4,-1,0,unknown,no
2731,no,633,yes,no,unknown,13,may,1032,1,-1,0,unknown,no
2732,no,7,yes,no,unknown,14,may,65,6,-1,0,unknown,no
2733,no,57,yes,no,unknown,14,may,194,4,-1,0,unknown,no
2734,no,0,yes,no,unknown,14,may,360,2,-1,0,unknown,no
2735,no,419,yes,yes,unknown,14,may,96,4,-1,0,unknown,no
2736,no,120,yes,no,unknown,14,may,20,11,-1,0,unknown,no
2737,no,580,yes,no,unknown,14,may,323,4,-1,0,unknown,no
2738,no,362,yes,no,unknown,14,may,332,2,-1,0,unknown,no
2739,no,43,yes,no,unknown,14,may,735,8,-1,0,unknown,no
2740,no,749,yes,no,unknown,14,may,151,2,-1,0,unknown,no
2741,no,243,yes,no,unknown,14,may,46,5,-1,0,unknown,no
2742,no,9004,no,no,unknown,14,may,158,3,-1,0,unknown,no
2743,no,2236,yes,no,unknown,14,may,73,2,-1,0,unknown,no
2744,no,3348,yes,no,unknown,14,may,407,4,-1,0,unknown,no
2745,no,2062,yes,no,unknown,14,may,438,2,-1,0,unknown,no
2746,no,188,no,no,unknown,14,may,139,2,-1,0,unknown,no
2747,no,1483,yes,no,unknown,14,may,174,3,-1,0,unknown,no
2748,no,2550,yes,no,unknown,14,may,175,3,-1,0,unknown,no
2749,yes,53,yes,no,unknown,14,may,313,4,-1,0,unknown,no
2750,no,547,yes,no,unknown,14,may,137,4,-1,0,unknown,no
2751,no,1374,no,yes,unknown,14,may,22,3,-1,0,unknown,no
2752,no,67,yes,no,unknown,14,may,328,4,-1,0,unknown,no
2753,no,4998,yes,no,unknown,14,may,93,4,-1,0,unknown,no
2754,no,0,no,no,unknown,14,may,97,2,-1,0,unknown,no
2755,yes,-2,yes,yes,unknown,14,may,123,5,-1,0,unknown,no
2756,no,23,yes,no,unknown,14,may,219,4,-1,0,unknown,no
2757,no,512,yes,yes,unknown,14,may,455,3,-1,0,unknown,no
2758,yes,447,no,no,unknown,14,may,103,6,-1,0,unknown,no
2759,no,1917,yes,no,unknown,14,may,200,2,-1,0,unknown,no
2760,no,4871,yes,no,unknown,14,may,133,2,-1,0,unknown,no
2761,no,326,yes,no,unknown,14,may,35,2,-1,0,unknown,no
2762,no,0,yes,yes,unknown,14,may,77,2,-1,0,unknown,no
2763,no,0,no,no,unknown,14,may,211,2,-1,0,unknown,no
2764,no,14,no,no,unknown,14,may,72,2,-1,0,unknown,no
2765,no,692,yes,yes,unknown,14,may,133,2,-1,0,unknown,no
2766,no,369,yes,yes,unknown,14,may,89,2,-1,0,unknown,no
2767,no,591,yes,no,unknown,14,may,287,3,-1,0,unknown,no
2768,no,3923,yes,no,unknown,14,may,942,3,-1,0,unknown,yes
2769,no,0,yes,no,unknown,14,may,101,2,-1,0,unknown,no
2770,no,348,yes,yes,unknown,14,may,305,3,-1,0,unknown,no
2771,no,102,yes,yes,unknown,14,may,387,9,-1,0,unknown,no
2772,no,447,yes,no,unknown,14,may,146,4,-1,0,unknown,no
2773,no,2121,yes,no,unknown,14,may,160,1,-1,0,unknown,no
2774,no,5154,yes,no,unknown,14,may,70,1,-1,0,unknown,no
2775,no,393,yes,no,unknown,14,may,466,1,-1,0,unknown,no
2776,no,5879,yes,no,unknown,14,may,162,1,-1,0,unknown,no
2777,no,-31,yes,no,unknown,14,may,117,4,-1,0,unknown,no
2778,no,871,yes,no,unknown,14,may,381,1,-1,0,unknown,no
2779,no,37378,yes,no,unknown,14,may,167,1,-1,0,unknown,no
2780,no,1443,yes,no,unknown,14,may,476,1,-1,0,unknown,yes
2781,no,752,yes,no,unknown,14,may,178,1,-1,0,unknown,no
2782,no,1093,yes,no,unknown,14,may,260,1,-1,0,unknown,no
2783,no,573,yes,yes,unknown,14,may,231,1,-1,0,unknown,no
2784,no,258,no,no,unknown,14,may,188,1,-1,0,unknown,no
2785,no,247,yes,yes,unknown,14,may,145,1,-1,0,unknown,no
2786,no,202,yes,no,unknown,14,may,163,3,-1,0,unknown,no
2787,no,302,yes,no,unknown,14,may,282,1,-1,0,unknown,no
2788,no,736,yes,no,unknown,14,may,74,1,-1,0,unknown,no
2789,no,0,yes,no,unknown,14,may,73,1,-1,0,unknown,no
2790,no,532,yes,no,unknown,14,may,220,1,-1,0,unknown,no
2791,no,0,no,no,unknown,14,may,333,1,-1,0,unknown,no
2792,no,7378,no,no,unknown,14,may,316,3,-1,0,unknown,no
2793,no,4666,no,no,unknown,14,may,451,3,-1,0,unknown,no
2794,no,1516,yes,no,unknown,14,may,318,1,-1,0,unknown,no
2795,no,0,yes,yes,unknown,14,may,246,2,-1,0,unknown,no
2796,no,6085,yes,yes,unknown,14,may,311,2,-1,0,unknown,no
2797,yes,-183,yes,no,unknown,14,may,202,2,-1,0,unknown,no
2798,no,91,yes,no,unknown,14,may,174,2,-1,0,unknown,no
2799,no,30,yes,no,unknown,14,may,168,3,-1,0,unknown,no
2800,no,24,yes,no,unknown,14,may,832,1,-1,0,unknown,yes
2801,no,522,yes,no,unknown,14,may,230,1,-1,0,unknown,no
2802,no,770,yes,no,unknown,14,may,200,1,-1,0,unknown,no
2803,no,1288,yes,no,unknown,14,may,170,1,-1,0,unknown,no
2804,no,1029,yes,no,unknown,14,may,142,1,-1,0,unknown,no
2805,no,4135,yes,no,unknown,14,may,283,8,-1,0,unknown,no
2806,no,204,yes,yes,unknown,14,may,421,1,-1,0,unknown,no
2807,no,1534,yes,no,unknown,14,may,278,1,-1,0,unknown,no
2808,no,0,yes,no,unknown,14,may,179,1,-1,0,unknown,no
2809,no,877,yes,no,unknown,14,may,238,1,-1,0,unknown,no
2810,no,478,yes,no,unknown,14,may,110,2,-1,0,unknown,no
2811,no,1130,yes,no,unknown,14,may,138,3,-1,0,unknown,no
2812,no,2401,yes,no,unknown,14,may,218,2,-1,0,unknown,no
2813,no,740,yes,no,unknown,14,may,158,2,-1,0,unknown,no
2814,no,993,no,no,unknown,14,may,105,1,-1,0,unknown,no
2815,no,896,yes,no,unknown,14,may,106,1,-1,0,unknown,no
2816,no,332,yes,no,unknown,14,may,217,1,-1,0,unknown,no
2817,no,1088,no,no,unknown,14,may,132,1,-1,0,unknown,no
2818,no,51,yes,no,unknown,14,may,824,2,-1,0,unknown,no
2819,no,1541,yes,no,unknown,14,may,243,1,-1,0,unknown,no
2820,no,413,yes,no,unknown,14,may,150,1,-1,0,unknown,no
2821,no,2656,yes,no,unknown,14,may,238,1,-1,0,unknown,no
2822,no,1618,yes,no,unknown,14,may,1553,1,-1,0,unknown,yes
2823,no,146,yes,no,unknown,14,may,148,2,-1,0,unknown,no
2824,no,153,yes,no,unknown,14,may,159,2,-1,0,unknown,no
2825,no,4505,yes,no,unknown,14,may,108,2,-1,0,unknown,no
2826,no,0,yes,no,unknown,14,may,124,1,-1,0,unknown,no
2827,no,520,yes,no,unknown,14,may,452,1,-1,0,unknown,no
2828,no,4151,yes,no,unknown,14,may,114,1,-1,0,unknown,no
2829,no,3382,yes,no,unknown,14,may,125,1,-1,0,unknown,no
2830,no,261,yes,no,unknown,14,may,622,1,-1,0,unknown,no
2831,no,1160,yes,no,unknown,14,may,153,1,-1,0,unknown,no
2832,no,517,yes,yes,unknown,14,may,1328,1,-1,0,unknown,yes
2833,no,2956,yes,no,unknown,14,may,686,1,-1,0,unknown,no
2834,no,1327,yes,yes,unknown,14,may,80,1,-1,0,unknown,no
2835,no,8417,yes,no,unknown,14,may,435,1,-1,0,unknown,no
2836,no,-172,yes,no,unknown,14,may,300,1,-1,0,unknown,no
2837,no,2257,yes,no,unknown,14,may,203,1,-1,0,unknown,no
2838,no,277,yes,no,unknown,14,may,121,1,-1,0,unknown,no
2839,no,902,yes,no,unknown,14,may,71,1,-1,0,unknown,no
2840,no,212,yes,no,unknown,14,may,78,1,-1,0,unknown,no
2841,no,513,yes,no,unknown,14,may,534,1,-1,0,unknown,no
2842,no,2272,yes,no,unknown,14,may,243,1,-1,0,unknown,no
2843,no,719,yes,no,unknown,14,may,230,1,-1,0,unknown,no
2844,no,1,no,no,unknown,14,may,253,1,-1,0,unknown,no
2845,no,503,yes,no,unknown,14,may,127,3,-1,0,unknown,no
2846,no,1521,yes,yes,unknown,14,may,1125,2,-1,0,unknown,yes
2847,no,2516,yes,yes,unknown,14,may,282,1,-1,0,unknown,no
2848,no,468,yes,no,unknown,14,may,220,1,-1,0,unknown,no
2849,no,329,yes,no,unknown,14,may,158,2,-1,0,unknown,no
2850,no,259,yes,yes,unknown,14,may,267,2,-1,0,unknown,no
2851,no,769,yes,no,unknown,14,may,257,1,-1,0,unknown,no
2852,no,-700,yes,no,unknown,14,may,110,1,-1,0,unknown,no
2853,no,15801,yes,no,unknown,14,may,456,9,-1,0,unknown,no
2854,no,7831,yes,no,unknown,14,may,78,1,-1,0,unknown,no
2855,no,0,no,no,unknown,14,may,298,1,-1,0,unknown,no
2856,no,-68,yes,no,unknown,14,may,429,2,-1,0,unknown,no
2857,no,2639,yes,no,unknown,14,may,483,2,-1,0,unknown,no
2858,no,1076,yes,no,unknown,14,may,213,1,-1,0,unknown,no
2859,no,584,yes,no,unknown,14,may,51,1,-1,0,unknown,no
2860,no,2706,yes,yes,unknown,14,may,44,1,-1,0,unknown,no
2861,no,1294,yes,no,unknown,14,may,164,2,-1,0,unknown,no
2862,no,771,yes,no,unknown,14,may,166,1,-1,0,unknown,no
2863,no,283,yes,yes,unknown,14,may,220,2,-1,0,unknown,no
2864,no,482,yes,no,unknown,14,may,178,1,-1,0,unknown,no
2865,no,11,no,no,unknown,14,may,452,2,-1,0,unknown,no
2866,no,2823,yes,no,unknown,14,may,858,1,-1,0,unknown,yes
2867,no,338,yes,no,unknown,14,may,87,1,-1,0,unknown,no
2868,no,5700,yes,no,unknown,14,may,97,1,-1,0,unknown,no
2869,no,3028,yes,yes,unknown,14,may,116,1,-1,0,unknown,no
2870,no,2418,yes,no,unknown,14,may,120,1,-1,0,unknown,no
